log_total_energy,Richness,habitat
9.531925658,46,forest
10.83034264,60,forest
10.12859536,60,forest
10.13422004,63,forest
9.56343956,53,forest
9.64951653,54,forest
10.06833531,37,forest
9.615832074,44,forest
8.787979259,34,forest
12.3233374,59,forest
9.450656684,42,forest
9.302855345,38,forest
9.938414514,58,forest
11.36919634,47,forest
10.22022423,55,forest
10.01814287,36,forest
9.773889235,51,forest
10.31195667,52,forest
10.09267491,49,forest
10.28440624,47,forest
10.1012489,57,forest
11.24638722,45,forest
8.954212476,27,forest
9.376607106,44,forest
9.865071858,54,forest
9.39626184,49,forest
10.0151696,34,forest
9.645122771,51,forest
10.07461353,52,forest
9.451562077,47,forest
10.15156134,61,forest
9.582318378,46,forest
10.23976734,52,forest
9.470780414,46,forest
9.966488347,51,forest
10.53546209,61,forest
10.18311181,46,forest
10.12927493,58,forest
10.01448071,52,forest
10.75880338,55,forest
10.04775326,56,forest
10.26500786,49,forest
9.301076609,50,forest
10.39885384,55,forest
10.25956943,61,forest
10.2738142,63,forest
9.794390974,43,forest
10.0809005,54,forest
10.03209863,54,forest
10.66209395,58,forest
10.73807589,71,forest
11.15568841,70,forest
10.13621182,53,forest
9.546122444,50,forest
9.385268571,58,forest
10.02410234,45,forest
9.187780781,49,forest
9.827257469,53,forest
9.663184277,56,forest
9.687242635,52,forest
9.151670177,48,forest
9.32064833,54,forest
10.50236754,54,forest
9.175446865,47,forest
9.664767357,54,forest
10.22977644,48,forest
10.03433061,59,forest
9.837254477,59,forest
9.922213698,51,forest
9.974884653,52,forest
10.16826455,62,forest
10.34397414,62,forest
10.53026191,63,forest
9.121763237,56,forest
10.35042075,51,forest
10.19581467,55,forest
9.542996335,52,forest
10.0285552,53,forest
9.153470575,50,forest
10.35966853,63,forest
10.10515613,62,forest
9.548873489,51,forest
10.06284419,63,forest
10.6837371,67,forest
10.1826561,59,forest
10.22520166,69,forest
9.973703822,68,forest
10.16172912,57,forest
9.320401084,38,forest
9.594156766,60,forest
9.263304064,55,forest
10.3303231,70,forest
9.67396673,60,forest
9.626682774,61,forest
10.42456669,65,forest
9.944841337,58,forest
9.646812301,54,forest
10.20754555,46,forest
10.08164886,62,forest
10.18592796,53,forest
10.27737026,66,forest
9.874395692,54,forest
9.993629175,59,forest
10.01959586,65,forest
9.241104226,40,forest
10.38650175,65,forest
10.0435515,55,forest
10.41807456,69,forest
9.583983725,62,forest
9.529940532,51,forest
10.08310897,67,forest
9.657343121,51,forest
9.658321091,50,forest
10.00119885,68,forest
10.49419556,59,forest
9.946196647,62,forest
9.628079689,56,forest
9.986781415,53,forest
9.411675665,39,forest
9.818108938,55,forest
10.71102348,59,forest
9.800890383,64,forest
10.02793685,69,forest
9.93780001,56,forest
9.82101297,58,forest
8.913559084,45,forest
9.677232079,64,forest
9.660720712,62,forest
9.69546861,55,forest
9.798101989,64,forest
9.672974914,65,forest
9.523225015,58,forest
9.193262913,59,forest
9.841510721,60,forest
9.877144665,60,forest
9.768485443,53,forest
9.429603952,51,forest
10.02118511,60,forest
9.577001844,67,forest
9.591578319,55,forest
9.718591847,59,forest
9.59203177,56,forest
9.506616733,61,forest
9.84071185,63,forest
9.785033218,58,forest
10.62500515,63,forest
9.309894407,63,forest
9.816835856,66,forest
9.596422087,58,forest
9.910756772,67,forest
9.89527699,62,forest
9.616387038,60,forest
8.892591751,48,forest
9.755769615,61,forest
10.04528567,70,forest
9.034128842,55,forest
9.303564175,47,forest
9.783717693,61,forest
10.10362856,69,forest
9.508295197,58,forest
10.06629772,58,forest
10.29152816,58,forest
9.615448497,55,forest
9.777446796,66,forest
10.01759957,79,forest
9.534362263,54,forest
10.62109157,82,forest
9.266772384,44,forest
10.11465987,58,forest
9.365507906,54,forest
9.955462967,74,forest
9.546581738,67,forest
9.616080154,60,forest
11.35908419,62,forest
9.585653633,45,forest
10.310812,66,forest
9.94800082,54,forest
9.844242399,69,forest
9.723403905,55,forest
10.73586787,77,forest
9.292506935,54,forest
10.49644637,64,forest
9.598200355,59,forest
10.10389925,61,forest
9.946925762,63,forest
9.213228804,54,forest
9.059690206,44,forest
9.875649977,66,forest
9.632328671,61,forest
9.296809456,57,forest
10.23168225,63,forest
10.6304248,60,forest
9.450709163,64,forest
10.14563243,73,forest
9.450854913,60,forest
9.657264865,49,forest
9.597516411,63,forest
10.13128892,45,forest
10.03496233,58,forest
9.753603932,53,forest
9.303077516,50,forest
10.57870704,61,forest
9.709674334,56,forest
9.432783398,63,forest
10.256954,70,forest
10.82257889,78,forest
9.883712401,63,forest
9.067044174,40,forest
9.472759291,70,forest
8.905415997,43,forest
9.296419917,57,forest
9.829407611,68,forest
10.21271769,51,forest
9.332192989,55,forest
10.41050229,50,forest
8.601906663,45,forest
10.21795518,62,forest
9.961504891,65,forest
8.721972455,41,forest
10.24459195,60,forest
9.914570647,67,forest
8.174824164,30,forest
9.572118676,50,forest
10.15895957,63,forest
9.819651144,58,forest
9.290168665,58,forest
8.556313182,43,forest
10.0239364,53,forest
9.498586452,65,forest
8.163743893,38,forest
9.460600865,61,forest
9.140510186,51,forest
10.22313445,66,forest
10.57269873,64,forest
9.178162096,57,forest
9.656099402,49,forest
8.963568882,44,forest
10.04564968,70,forest
9.704942176,39,forest
10.26681894,49,forest
9.897777857,61,forest
9.378265587,49,forest
9.148420087,57,forest
11.20629074,76,forest
9.999405225,53,forest
9.403590725,53,forest
9.485915912,59,forest
8.000216338,33,forest
9.755523326,52,forest
9.658736719,51,forest
8.846669793,37,forest
9.923140464,64,forest
9.744427569,55,forest
9.594156801,54,forest
10.36143827,55,forest
10.10697283,68,forest
9.23129187,44,forest
11.00720973,77,forest
10.87135894,55,forest
11.16430787,84,forest
9.286375721,46,forest
9.627016835,65,forest
9.504148765,56,forest
10.03790285,52,forest
9.344489197,46,forest
10.3093793,60,forest
9.823492108,77,forest
10.27892449,76,forest
10.00665145,71,forest
9.980389843,48,forest
9.901753048,72,forest
10.2864007,74,forest
8.95522005,62,forest
10.50843977,80,forest
10.05206935,62,forest
9.702524683,46,forest
10.48552947,57,forest
9.411426,52,forest
9.578152977,61,forest
9.371323548,55,forest
10.39043325,58,forest
9.273554296,45,forest
10.40617111,61,forest
10.75952829,57,forest
10.63242764,75,forest
9.896517632,74,forest
9.238971288,52,forest
9.32070753,43,forest
10.46655744,65,forest
9.929496617,71,forest
9.588472469,53,forest
10.05437666,61,forest
10.42438214,63,forest
9.850756226,57,forest
9.722868692,64,forest
9.611144721,73,forest
9.411076496,49,forest
9.87611392,64,forest
10.27924911,58,forest
9.068462767,50,forest
9.854967253,60,forest
10.28820351,65,forest
9.894235239,63,forest
11.61046596,70,forest
10.00969148,58,forest
9.334551381,64,forest
9.425471814,61,forest
9.330967312,59,forest
8.918036623,46,forest
9.151273957,54,forest
9.514943989,67,forest
9.710467584,66,forest
8.812019542,50,forest
9.997305763,43,forest
8.835218648,38,forest
9.878747325,57,forest
9.571988892,57,forest
10.17571261,59,forest
10.92568733,51,forest
8.498204665,40,forest
9.603967832,58,forest
9.875639964,65,forest
9.33829603,54,forest
10.0496885,66,forest
9.602890498,57,forest
10.39641469,81,forest
9.677465304,67,forest
9.505712343,68,forest
9.76608856,65,forest
8.328113783,41,forest
8.274592823,37,forest
9.359197119,63,forest
9.553973636,56,forest
10.18490754,69,forest
9.932480728,64,forest
10.25100755,57,forest
9.925172452,53,forest
11.06635762,64,forest
9.85843883,68,forest
9.121890027,56,forest
11.56370908,70,forest
9.752401217,58,forest
9.917681209,73,forest
9.738546144,50,forest
10.89857049,64,forest
8.262634499,38,forest
10.73407817,72,forest
8.794850474,44,forest
9.902331625,57,forest
8.721436624,53,forest
10.46398572,57,forest
10.2190992,79,forest
9.089507847,59,forest
12.10225925,91,forest
9.822266466,64,forest
9.426217832,53,forest
11.0542853,70,forest
10.1755797,65,forest
10.20874517,58,forest
10.62961203,72,forest
8.952956781,45,forest
10.79130565,70,forest
9.553661396,65,forest
9.916535787,65,forest
11.71998284,92,forest
10.80686413,61,forest
9.270286106,47,forest
9.427717668,62,forest
10.31990878,55,forest
10.71426589,72,forest
10.04668083,71,forest
9.441751847,49,forest
9.498341678,63,forest
11.12743785,70,forest
9.586399824,61,forest
8.841309267,39,forest
8.829105089,58,forest
10.89595616,76,forest
9.184812607,51,forest
9.663101239,67,forest
9.734691673,66,forest
10.42535297,63,forest
10.25064489,67,forest
8.941117642,55,forest
10.75973847,61,forest
10.34445403,66,forest
10.47703386,69,forest
9.834677769,58,forest
10.18128771,64,forest
9.670569161,72,forest
10.52762655,47,forest
9.464225549,41,forest
10.70733189,65,forest
10.76947697,74,forest
9.728062355,63,forest
9.646117795,54,forest
8.38095979,48,forest
8.771068817,46,forest
8.791522142,59,forest
11.09752957,89,forest
9.599257927,57,forest
9.974208632,69,forest
9.614769486,50,forest
10.35014848,56,forest
9.733193728,49,forest
9.653713819,55,forest
10.3235751,72,forest
10.11302581,66,forest
9.530302147,53,forest
9.130886422,60,forest
9.814265736,66,forest
11.10204061,77,forest
10.36323707,40,forest
10.71578054,75,forest
10.72953237,81,forest
9.019952717,52,forest
9.690881731,65,forest
9.734018748,59,forest
9.130640559,54,forest
9.070900176,55,forest
10.17646818,60,forest
10.77719405,70,forest
10.92693673,69,forest
9.712584077,59,forest
10.77415905,72,forest
10.34645152,74,forest
11.33767789,40,forest
9.929554095,67,forest
9.457932704,61,forest
10.05291288,76,forest
9.846498753,57,forest
11.35360844,77,forest
9.948857693,70,forest
9.964464127,65,forest
10.59901736,68,forest
8.724409885,51,forest
9.811798056,58,forest
8.742760249,46,forest
9.814250079,59,forest
9.858696589,73,forest
10.89844908,69,forest
9.970657014,76,forest
9.153720801,44,forest
9.879712737,71,forest
9.947689734,63,forest
9.471637352,64,forest
9.814220147,63,forest
10.56446742,59,forest
10.08588589,65,forest
10.99869426,50,forest
10.18092152,56,forest
9.589981115,63,forest
9.354943769,56,forest
10.10197769,62,forest
9.042544972,55,forest
10.18691638,69,forest
10.41169587,58,forest
9.728776278,62,forest
10.20678554,61,forest
10.13735993,65,forest
9.519436843,64,forest
10.55949281,62,forest
10.52953638,72,forest
9.303953225,41,forest
9.701885053,62,forest
9.695661328,65,forest
10.0105696,78,forest
9.702006159,62,forest
10.90744151,60,forest
9.912708141,65,forest
8.996665804,60,forest
10.3289963,65,forest
9.35684966,61,forest
8.986829415,47,forest
9.450370952,51,forest
11.21518597,61,forest
10.79779908,59,forest
9.505464416,56,forest
10.60245482,58,forest
10.44178762,54,forest
10.37041112,77,forest
10.59803959,55,forest
9.991800999,60,forest
9.590804614,66,forest
9.781716187,48,forest
9.99223557,73,forest
9.78628339,57,forest
9.498162307,69,forest
10.53514071,71,forest
10.50775365,70,forest
11.34645555,69,forest
9.824577529,52,forest
10.54879037,81,forest
9.666781089,64,forest
10.20205351,50,forest
11.29942357,52,forest
11.96536869,65,forest
9.13135089,68,forest
10.7883143,55,forest
11.13989672,59,forest
10.66439739,49,forest
9.955955953,56,forest
10.09751533,74,forest
10.31778712,67,forest
9.376467463,75,forest
9.895255694,60,forest
10.5744806,66,forest
10.08393184,73,forest
10.03820667,40,forest
10.41662179,70,forest
10.0194696,66,forest
10.52105733,59,forest
10.12492389,57,forest
9.477466032,66,forest
10.43216113,56,forest
10.47131421,72,forest
10.29944585,57,forest
10.50869571,50,forest
10.32403553,55,forest
10.44242261,64,forest
9.881416549,66,forest
9.92028291,74,forest
10.79033259,58,forest
9.653577246,68,forest
8.490313013,42,forest
11.40730831,61,forest
9.905978995,56,forest
10.0846404,82,forest
9.8049669,63,forest
8.259812525,47,forest
10.13253226,58,forest
10.14781182,63,forest
8.945057781,52,forest
9.392055829,29,forest
10.47505724,59,forest
10.52966578,70,forest
10.87426644,54,forest
9.807788274,40,forest
10.02683575,80,forest
10.3446978,50,forest
9.3947341,62,forest
9.945985587,71,forest
10.32619636,68,forest
10.063874,67,forest
9.374400113,68,forest
10.3582808,59,forest
9.708701533,68,forest
9.937498022,61,forest
9.619235875,59,forest
10.37233677,60,forest
10.66126013,75,forest
10.21110794,72,forest
10.45565123,62,forest
10.09860969,63,forest
10.43821444,60,forest
9.201640927,55,forest
11.26673659,40,forest
9.974487973,77,forest
10.1103377,63,forest
10.634556,68,forest
9.745755772,77,forest
11.14940633,57,forest
10.11667128,73,forest
10.0968013,52,forest
10.0705748,69,forest
9.458407497,59,forest
9.550205608,79,forest
9.531216998,73,forest
9.247058649,59,forest
9.034200513,55,forest
9.735167956,69,forest
9.585732686,76,forest
10.61387675,69,forest
10.91159533,76,forest
9.179170356,61,forest
9.010962776,55,forest
9.657979717,40,forest
9.905812835,72,forest
9.729084178,56,forest
8.894377544,58,forest
10.36624736,71,forest
9.059561296,61,forest
9.433766351,49,forest
9.621244437,69,forest
10.88691078,50,forest
10.1829578,66,forest
9.996562177,62,forest
10.64998955,70,forest
10.59233643,75,forest
9.961576014,48,forest
10.22091758,69,forest
9.788804193,61,forest
9.82537285,67,forest
9.192530327,57,forest
9.893572722,69,forest
9.975963632,78,forest
10.25621392,51,forest
10.06950822,50,forest
9.846653166,59,forest
10.35813047,60,forest
10.23408265,73,forest
9.805300066,52,forest
9.615254862,64,forest
10.085289,66,forest
9.648444818,61,forest
9.589616522,73,forest
9.802054309,64,forest
10.11821446,61,forest
9.778222184,63,forest
10.00973308,72,forest
9.90994996,75,forest
9.771988835,71,forest
9.792190228,52,forest
9.418413442,66,forest
10.46638578,59,forest
9.558709372,62,forest
9.530230076,72,forest
9.428571448,60,forest
9.727100346,60,forest
9.297068547,63,forest
9.593602443,71,forest
9.956176546,67,forest
10.22093209,65,forest
9.717781808,66,forest
9.203670766,55,forest
9.99793037,62,forest
9.669425222,47,forest
9.011508472,65,forest
10.73178338,65,forest
10.32616861,56,forest
9.505750684,61,forest
9.83563786,64,forest
9.350518115,59,forest
9.197084485,55,forest
9.2733257,64,forest
8.997345157,57,forest
9.314238319,59,forest
10.75615883,50,forest
9.188501423,58,forest
9.234364087,63,forest
9.863646217,72,forest
9.572449341,67,forest
9.193042528,64,forest
9.286901396,51,forest
9.241799651,60,forest
9.51006179,61,forest
9.609962263,68,forest
8.935766468,60,forest
9.209888655,56,forest
9.447041369,68,forest
9.11778077,62,forest
9.873353149,67,forest
9.576955055,61,forest
8.579224758,49,forest
10.43518469,81,forest
9.519771132,58,forest
9.496690539,65,forest
8.835296449,62,forest
9.323048125,63,forest
9.079442728,53,forest
8.806663359,57,forest
9.331637788,71,forest
9.660819717,71,forest
9.293002652,54,forest
8.96700424,59,forest
9.664277999,70,forest
9.261688131,60,forest
8.523746898,48,forest
9.75082595,44,forest
9.025564061,55,forest
9.193460686,68,forest
8.593897875,52,forest
8.541704909,54,forest
10.09016055,63,forest
8.831603253,62,forest
9.785480855,69,forest
9.109110081,68,forest
9.254853336,39,forest
9.372808948,71,forest
9.711431969,67,forest
9.357335607,64,forest
9.215647934,69,forest
9.610067132,59,forest
9.884944556,56,forest
9.442430238,62,forest
9.00276191,58,forest
11.83919678,57,forest
10.79552174,45,forest
9.664452494,62,forest
9.176179625,56,forest
9.3685178,46,forest
9.634143841,66,forest
9.116009726,60,forest
9.468719822,66,forest
9.896481306,78,forest
9.268132812,67,forest
11.26713499,58,forest
10.03925272,57,forest
10.00721795,65,forest
9.187609228,53,forest
9.542772453,67,forest
9.003137686,58,forest
10.41708723,48,forest
9.307984511,71,forest
9.844675186,63,forest
8.78576051,56,forest
9.55442525,73,forest
8.928661017,59,forest
9.935029515,54,forest
10.09852006,71,forest
9.402436636,70,forest
9.927058836,67,forest
9.365390081,59,forest
9.126244368,66,forest
9.134791588,64,forest
9.383229007,58,forest
10.34612995,48,forest
9.771520923,70,forest
10.01892998,80,forest
10.13791166,66,forest
8.616031807,51,forest
9.336149682,68,forest
9.306233648,54,forest
8.912616664,51,forest
9.92857025,64,forest
11.00206144,80,forest
9.446815636,62,forest
9.817527134,68,forest
9.664037829,68,forest
10.199781,70,forest
9.153414335,55,forest
9.296474949,67,forest
10.31678489,57,forest
9.057595588,56,forest
10.41834563,63,forest
10.42506811,87,forest
10.09816698,64,forest
9.915247806,69,forest
9.349815271,55,forest
9.382788054,70,forest
9.932502397,75,forest
9.407469594,54,forest
9.276740027,61,forest
9.828403525,59,forest
9.588440001,61,forest
10.36616373,64,forest
9.547059564,55,forest
9.893284721,50,forest
9.689065343,55,forest
10.62169252,63,forest
9.741077754,62,forest
9.300565036,68,forest
8.704861203,49,forest
10.22327091,57,forest
10.62390115,60,forest
10.17702833,70,forest
8.450128515,47,forest
10.17829447,51,forest
9.938063872,65,forest
9.373240611,73,forest
8.881719652,61,forest
10.22863169,61,forest
8.105299736,46,forest
9.374784158,63,forest
8.682328846,64,forest
8.463865432,58,forest
9.196479398,70,forest
9.434823639,48,forest
9.561067258,52,forest
10.57112855,53,forest
9.96147298,56,forest
9.755748311,56,forest
8.380046546,56,forest
9.41408708,56,forest
8.763504053,66,forest
8.664566915,43,forest
11.83393679,52,forest
10.31805049,63,forest
11.4674209,61,forest
10.04186408,50,forest
9.498284199,59,forest
9.272100187,65,forest
8.726923054,56,forest
9.753517978,56,forest
13.46506064,62,forest
9.786789437,48,forest
8.529449036,40,forest
9.2843585,59,forest
9.76934092,65,forest
11.72423721,62,forest
8.930125893,47,forest
9.885223955,47,grassland
9.077187699,38,grassland
9.585670787,55,grassland
9.397661604,37,grassland
9.785647402,27,grassland
9.705384639,41,grassland
10.68928265,32,grassland
10.08634199,44,grassland
9.182923448,22,grassland
9.67083948,28,grassland
9.093950909,25,grassland
9.885869418,44,grassland
9.456223016,31,grassland
9.869787775,32,grassland
9.643005687,36,grassland
9.48018189,41,grassland
10.11460755,28,grassland
10.03672216,27,grassland
9.60340043,32,grassland
9.837157568,36,grassland
9.660139421,38,grassland
11.03380372,53,grassland
10.99913225,58,grassland
9.740524826,26,grassland
10.94303084,59,grassland
10.16247726,66,grassland
9.847202314,48,grassland
9.234919207,31,grassland
10.58552393,50,grassland
9.831589803,50,grassland
9.533190267,55,grassland
9.546706483,42,grassland
9.376263669,21,grassland
9.442211214,41,grassland
9.622732044,33,grassland
10.87488956,52,grassland
9.35703965,24,grassland
9.507303429,36,grassland
10.36307622,25,grassland
10.0260673,27,grassland
10.86321379,26,grassland
9.850549529,42,grassland
9.382589041,34,grassland
9.321545169,30,grassland
9.390300234,34,grassland
10.46639739,37,grassland
9.984514944,44,grassland
10.34912486,64,grassland
9.774874152,39,grassland
9.468284078,36,grassland
9.051977275,27,grassland
9.931381223,30,grassland
9.699653236,25,grassland
9.721155215,32,grassland
10.59211017,49,grassland
9.799842074,46,grassland
9.53037066,26,grassland
9.652323766,32,grassland
10.79539199,46,grassland
9.834457357,24,grassland
10.41123392,42,grassland
9.946768299,32,grassland
10.43458881,63,grassland
10.11572189,61,grassland
10.55279878,33,grassland
10.08235277,59,grassland
10.38532275,36,grassland
10.30962103,52,grassland
9.880054283,56,grassland
9.396150732,31,grassland
10.25917378,57,grassland
10.43824602,45,grassland
10.28987723,40,grassland
9.910777857,47,grassland
10.58638226,51,grassland
9.847261484,37,grassland
9.854798513,32,grassland
9.799579859,28,grassland
10.55959109,25,grassland
10.50332454,52,grassland
10.91901261,55,grassland
9.533686689,16,grassland
10.22348717,40,grassland
10.8355178,57,grassland
11.02898557,60,grassland
10.45201109,27,grassland
11.56257204,71,grassland
11.26333039,57,grassland
9.65826228,32,grassland
9.891875196,24,grassland
9.595898374,30,grassland
9.738547266,28,grassland
10.52122759,48,grassland
10.86211827,56,grassland
9.588329934,52,grassland
10.46499432,57,grassland
9.622105189,27,grassland
10.35823073,24,grassland
10.62282093,57,grassland
10.60485222,50,grassland
9.882725012,26,grassland
10.38598092,52,grassland
9.682708671,26,grassland
10.54754373,39,grassland
9.092522176,23,grassland
10.03000253,46,grassland
10.65416179,58,grassland
10.52159892,34,grassland
10.06696901,45,grassland
10.1631471,35,grassland
10.33202298,49,grassland
9.87641693,37,grassland
10.24238487,48,grassland
10.33193009,52,grassland
10.08403049,32,grassland
10.56050254,31,grassland
10.46717853,55,grassland
10.38170352,53,grassland
10.43746866,33,grassland
9.637399565,40,grassland
10.0995429,42,grassland
10.61471946,28,grassland
9.777885046,30,grassland
9.773877309,30,grassland
10.7501148,42,grassland
11.0179574,65,grassland
9.403532206,31,grassland
10.78452796,27,grassland
10.17867969,54,grassland
9.512923469,22,grassland
10.71770033,38,grassland
10.04633694,45,grassland
9.902738305,35,grassland
9.726417738,46,grassland
10.34869793,46,grassland
9.876675463,55,grassland
9.497367134,45,grassland
9.752125989,34,grassland
9.44212362,32,grassland
9.98430111,37,grassland
10.25914316,46,grassland
9.869145677,31,grassland
11.15837616,44,grassland
9.955538803,46,grassland
10.68160973,47,grassland
10.25800014,40,grassland
9.874713894,37,grassland
10.02565569,32,grassland
10.9092254,43,grassland
11.4907579,54,grassland
9.584215308,37,grassland
10.20100258,43,grassland
10.11387936,40,grassland
9.87197604,38,grassland
10.56386423,42,grassland
9.547189819,22,grassland
9.784646709,40,grassland
9.958711634,46,grassland
10.95243839,44,grassland
10.0399371,48,grassland
10.64731136,50,grassland
9.293581455,43,grassland
9.866430493,40,grassland
9.868150734,60,grassland
10.78352945,57,grassland
9.881115691,31,grassland
9.758674596,38,grassland
10.43964181,49,grassland
10.09689108,35,grassland
11.29733366,47,grassland
9.980532187,35,grassland
10.50457689,36,grassland
9.863944872,36,grassland
9.894476727,48,grassland
10.23874365,45,grassland
10.12641237,26,grassland
10.22284213,51,grassland
10.38563609,44,grassland
10.18638272,39,grassland
9.662468112,41,grassland
9.356317234,45,grassland
10.7437962,50,grassland
9.24382998,32,grassland
10.26091979,45,grassland
8.664543661,48,grassland
10.51818457,38,grassland
9.466381575,21,grassland
8.212828055,40,grassland
8.296843602,33,grassland
8.147554987,33,grassland
10.25221978,49,grassland
9.355466854,49,grassland
11.6762713,48,grassland
9.913271368,23,grassland
10.25629213,46,grassland
10.66126857,44,grassland
10.31721413,26,grassland
8.849369623,34,grassland
9.333681761,18,grassland
11.06408048,55,grassland
10.32799043,49,grassland
9.612090013,25,grassland
8.611072698,31,grassland
10.38829924,43,grassland
8.744678846,39,grassland
10.37436164,30,grassland
10.13290348,34,grassland
8.894562635,34,grassland
9.547161705,26,grassland
9.549935018,41,grassland
10.95038614,35,grassland
9.70517645,30,grassland
11.79589184,59,grassland
9.286812747,51,grassland
9.543991652,38,grassland
10.95981326,59,grassland
10.96198533,32,grassland
9.907781543,33,grassland
9.123154268,50,grassland
10.84977984,47,grassland
9.613871894,39,grassland
10.08082256,44,grassland
11.86363308,38,grassland
10.73428478,53,grassland
9.48595046,29,grassland
10.78969662,44,grassland
10.43944997,55,grassland
10.28572895,33,grassland
11.15381738,63,grassland
10.33014001,40,grassland
10.83703942,52,grassland
11.45219642,69,grassland
9.835375247,30,grassland
9.999408542,47,grassland
9.973554561,44,grassland
9.693529762,56,grassland
10.08654972,66,grassland
10.43482345,56,grassland
10.68836757,55,grassland
9.929251262,40,grassland
10.28286822,59,grassland
11.00388665,61,grassland
9.877586544,42,grassland
10.05503912,42,grassland
9.813362471,42,grassland
10.61722977,51,grassland
11.83253474,63,grassland
11.19802787,63,grassland
8.75504852,30,grassland
10.37408182,56,grassland
10.71739468,56,grassland
10.94780146,48,grassland
10.84958317,52,grassland
12.13545736,43,grassland
9.961694418,46,grassland
10.8167524,53,grassland
9.845667479,34,grassland
9.169119597,26,grassland
11.95831911,79,grassland
10.85763428,56,grassland
10.93913034,44,grassland
11.26117599,67,grassland
11.6904138,87,grassland
10.93731394,41,grassland
10.17002929,55,grassland
10.3695567,54,grassland
11.79478246,79,grassland
10.4930963,49,grassland
10.0311306,59,grassland
10.58155049,68,grassland
10.79826318,59,grassland
9.543845422,31,grassland
11.19238801,67,grassland
9.186963422,38,grassland
10.0911226,52,grassland
9.920206321,51,grassland
9.871775082,33,grassland
9.338399717,38,grassland
9.722442002,49,grassland
12.36157411,90,grassland
10.39510272,63,grassland
9.53321533,33,grassland
12.43391459,56,grassland
9.806163862,53,grassland
11.73748205,67,grassland
10.67855456,67,grassland
12.15802563,72,grassland
9.526003017,37,grassland
9.62236043,35,grassland
9.690154816,39,grassland
10.30139779,41,grassland
12.28276061,82,grassland
10.59524284,84,grassland
11.10136847,60,grassland
10.94069891,60,grassland
10.74326328,47,grassland
10.45512327,78,grassland
10.73691999,68,grassland
10.14718089,51,grassland
11.46594246,76,grassland
11.47139722,75,grassland
10.80725149,61,grassland
10.42682705,73,grassland
10.87115158,71,grassland
10.15052526,48,grassland
11.68317064,94,grassland
10.05979323,58,grassland
10.30490298,43,grassland
9.468358098,30,grassland
10.84397344,54,grassland
11.17282715,48,grassland
9.601742837,59,grassland
9.788295129,43,grassland
9.974433587,53,grassland
10.30767734,40,grassland
11.00233226,44,grassland
11.26057988,51,grassland
10.98269063,50,grassland
10.00651249,45,grassland
11.31549801,76,grassland
10.96677741,64,grassland
10.55640212,39,grassland
9.822887124,48,grassland
10.18273427,59,grassland
10.39045093,56,grassland
9.790934474,33,grassland
10.77327427,51,grassland
11.64770047,31,grassland
11.3797712,56,grassland
10.36915045,46,grassland
9.658833383,31,grassland
10.27554169,59,grassland
9.676991683,39,grassland
9.77905921,44,grassland
9.79210907,33,grassland
10.48032607,43,grassland
10.18644102,37,grassland
10.46487273,35,grassland
9.705089198,47,grassland
9.745288242,36,grassland
9.84767053,40,grassland
10.46784497,64,grassland
10.67544881,47,grassland
10.04729786,45,grassland
10.50688467,62,grassland
11.36964313,58,grassland
10.87170234,68,grassland
10.44612422,48,grassland
10.06336733,51,grassland
11.11236246,64,grassland
11.12140496,44,grassland
11.29793378,57,grassland
10.33860539,35,grassland
10.78271855,58,grassland
9.489038356,39,grassland
10.76681796,42,grassland
11.23923223,66,grassland
11.51695626,62,grassland
10.64687315,59,grassland
10.97739752,77,grassland
10.65876052,41,grassland
10.66206913,58,grassland
10.35097969,52,grassland
10.04470035,57,grassland
11.13584669,57,grassland
10.96577076,49,grassland
11.47781968,68,grassland
11.03581985,53,grassland
10.80994923,46,grassland
11.32971939,66,grassland
10.24297066,35,grassland
10.47254632,58,grassland
11.29004373,87,grassland
11.01727561,73,grassland
10.67833986,55,grassland
10.16644469,52,grassland
10.7258853,49,grassland
